"","aircraft","dep_time","est_arr_time","flight_no","origin"
"872","A319","Sat 06:12AM","Sat 10:03AM"," AAL924","Jose Maria Cordova Int'l (MDE / SKRG)"
"887","B744","Sat 05:40AM","Sat 09:43AM"," GTI78","El Dorado Int'l (BOG / SKBO)"
"930","B763","Sat 04:43AM","Sat 08:33AM"," FDX72","Jose Maria Cordova Int'l (MDE / SKRG)"
"946","B752","Sat 03:55AM","Sat 08:07AM"," UPS425","El Dorado Int'l (BOG / SKBO)"
"951","B763","Sat 03:16AM","Sat 07:23AM"," UPS355","El Dorado Int'l (BOG / SKBO)"
"965","A332","Sat 02:52AM","Sat 07:09AM"," TPA4006","El Dorado Int'l (BOG / SKBO)"
"967","B763","Sat 12:49AM","Sat 06:58AM"," LPE2466","Jorge Chavez Int'l (LIM / SPJC)"
"982","B752","Sat 01:33AM","Sat 06:32AM"," AAL946","Mariscal Sucre Int'l (UIO / SEQM)"
"986","A332","Sat 01:45AM","Sat 05:59AM"," TPA4004","El Dorado Int'l (BOG / SKBO)"
"987","A319","Sat 01:41AM","Sat 05:53AM"," AAL1126","El Dorado Int'l (BOG / SKBO)"
"993","B763","Fri 10:17PM","Sat 04:36AM"," AAL918","Jorge Chavez Int'l (LIM / SPJC)"
"996","A318","Fri 11:47PM","Sat 04:01AM"," AVA126","El Dorado Int'l (BOG / SKBO)"
"998","B763","Fri 10:46PM","Sat 03:35AM"," LAE1808","Mariscal Sucre Int'l (UIO / SEQM)"
"1004","B763","Fri 11:24PM","Sat 04:18AM"," AAL902","Jose Joaquin de Olmedo Int'l (GYE / SEGU)"
"1007","A332","Fri 11:44PM","Sat 03:39AM"," N331QT","Jose Maria Cordova Int'l (MDE / SKRG)"
"1010","A320","Fri 10:21PM","Sat 02:33AM"," ARE4364","El Dorado Int'l (BOG / SKBO)"
"1023","A319","Fri 08:54PM","Sat 01:07AM"," AVA8","El Dorado Int'l (BOG / SKBO)"
"1024","B763","Fri 07:46PM","Sat 12:29AM"," LCO1300","Mariscal Sucre Int'l (UIO / SEQM)"
"1025","A332","Fri 07:52PM","Sat 12:13AM"," TPA4000","El Dorado Int'l (BOG / SKBO)"
"5","A319","Sun 03:30PM","Sun 07:36PM"," AAL1531","Toncontin Int'l (TGU / MHTG)"
"16","A319","Sun 03:38PM","Sun 07:29PM"," AAL121","Ramon Villeda Morales Int'l (SAP / MHLM)"
"24","A319","Sun 03:30PM","Sun 07:36PM"," AAL1531","Toncontin Int'l (TGU / MHTG)"
"35","A319","Sun 03:38PM","Sun 07:29PM"," AAL121","Ramon Villeda Morales Int'l (SAP / MHLM)"
"54","B738","Sun 02:41PM","Sun 07:00PM"," AAL983","La Aurora Int'l (GUA / MGGT)"
"61","B738","Sun 02:26PM","Sun 06:40PM"," AAL2592","Managua Int'l (Augusto Cesar Sandino Int'l) (MGA / MNMG)"
"72","A319","Sun 02:10PM","Sun 06:35PM"," AAL1318","Daniel Oduber Int'l (LIR / MRLB)"
"104","A319","Sun 01:35PM","Sun 05:27PM"," AAL2440","Philip S. W. Goldson Int'l (BZE / MZBZ)"
"110","B738","Sun 01:23PM","Sun 05:35PM"," AAL2359","La Aurora Int'l (GUA / MGGT)"
"116","B738","Sun 12:48PM","Sun 05:21PM"," AAL1600","Juan Santamaria Int'l (SJO / MROC)"
"118","B763","Sun 01:03PM","Sun 05:15PM"," UPS357","Managua Int'l (Augusto Cesar Sandino Int'l) (MGA / MNMG)"
